,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,International Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Bank credentials,50.00%,75.00%,75.00%,75.00%,75.00%,25.00%,25.00%,25.00%,0.00%,25.00%,25.00%,25.00%,75.00%,75.00%,0.00%
Birth certificate,100.00%,75.00%,25.00%,50.00%,100.00%,100.00%,75.00%,100.00%,100.00%,50.00%,75.00%,50.00%,75.00%,75.00%,75.00%
Diploma,100.00%,100.00%,50.00%,25.00%,0.00%,100.00%,75.00%,100.00%,100.00%,50.00%,50.00%,75.00%,75.00%,75.00%,75.00%
Disability status,100.00%,50.00%,50.00%,50.00%,75.00%,0.00%,0.00%,50.00%,75.00%,25.00%,50.00%,50.00%,75.00%,50.00%,50.00%
Driver's license,75.00%,75.00%,0.00%,50.00%,75.00%,100.00%,50.00%,0.00%,75.00%,25.00%,50.00%,50.00%,75.00%,75.00%,75.00%
Employment history,100.00%,75.00%,75.00%,0.00%,50.00%,100.00%,75.00%,75.00%,50.00%,25.00%,50.00%,75.00%,75.00%,75.00%,75.00%
Health insurance,50.00%,0.00%,75.00%,75.00%,100.00%,75.00%,50.00%,100.00%,100.00%,50.00%,75.00%,50.00%,75.00%,75.00%,75.00%
Marriage certificate,100.00%,100.00%,25.00%,50.00%,75.00%,100.00%,75.00%,100.00%,50.00%,25.00%,50.00%,50.00%,75.00%,75.00%,50.00%
Medical records,100.00%,25.00%,100.00%,75.00%,100.00%,100.00%,75.00%,100.00%,100.00%,50.00%,75.00%,50.00%,75.00%,75.00%,75.00%
Official Identity Document,25.00%,25.00%,0.00%,50.00%,50.00%,0.00%,25.00%,0.00%,0.00%,25.00%,25.00%,50.00%,75.00%,75.00%,0.00%
Prescriptions,25.00%,25.00%,100.00%,75.00%,100.00%,75.00%,75.00%,100.00%,100.00%,50.00%,75.00%,75.00%,75.00%,75.00%,75.00%
Professional licenses,75.00%,100.00%,75.00%,0.00%,50.00%,100.00%,75.00%,75.00%,75.00%,50.00%,50.00%,75.00%,75.00%,75.00%,75.00%
University transcript,75.00%,100.00%,75.00%,50.00%,25.00%,100.00%,75.00%,100.00%,100.00%,50.00%,50.00%,75.00%,75.00%,75.00%,75.00%
Visa,75.00%,75.00%,25.00%,50.00%,50.00%,75.00%,50.00%,75.00%,75.00%,25.00%,50.00%,50.00%,75.00%,50.00%,50.00%
